,beta,Am,Rm
beta=4.7e+04-Am=1-Rm=100.dat,47000.0,1.0,100.0
beta=2.2e+03-Am=0.25-Rm=inf.dat,2200.0,0.25,inf
beta=2.9e+06-Am=1-Rm=inf.dat,2900000.0,1.0,inf
beta=1.1e+04-Am=4-Rm=inf.dat,11000.0,4.0,inf
beta=2.6e+02-Am=2-Rm=inf.dat,260.0,2.0,inf
beta=1.1e+03-Am=1-Rm=inf.dat,1100.0,1.0,inf
beta=4.7e+04-Am=0.25-Rm=inf.dat,47000.0,0.25,inf
beta=8.5e+07-Am=1-Rm=inf.dat,85000000.0,1.0,inf
beta=4.8e+03-Am=0.5-Rm=inf.dat,4800.0,0.5,inf
beta=5.1e+02-Am=1-Rm=inf.dat,510.0,1.0,inf
beta=1.0e+04-Am=1-Rm=inf.dat,10000.0,1.0,inf
beta=1.1e+03-Am=4-Rm=inf.dat,1100.0,4.0,inf
beta=5.6e+02-Am=4-Rm=inf.dat,560.0,4.0,inf
beta=6.3e+01-Am=1-Rm=inf.dat,63.0,1.0,inf
beta=5.4e+05-Am=1-Rm=inf.dat,540000.0,1.0,inf
beta=4.7e+04-Am=2-Rm=inf.dat,47000.0,2.0,inf
beta=4.8e+03-Am=1-Rm=10.dat,4800.0,1.0,10.0
beta=1.0e+05-Am=1-Rm=1.dat,100000.0,1.0,1.0
beta=1.1e+03-Am=0.5-Rm=inf.dat,1100.0,0.5,inf
beta=2.2e+04-Am=1-Rm=10.dat,22000.0,1.0,10.0
beta=1.0e+05-Am=1-Rm=inf.dat,100000.0,1.0,inf
beta=2.2e+03-Am=1-Rm=10.dat,2200.0,1.0,10.0
beta=2.2e+04-Am=1-Rm=100.dat,22000.0,1.0,100.0
beta=6.8e+06-Am=1-Rm=inf.dat,6800000.0,1.0,inf
beta=1.0e+05-Am=1-Rm=10.dat,100000.0,1.0,10.0
beta=2.3e+03-Am=2-Rm=inf.dat,2300.0,2.0,inf
beta=4.8e+03-Am=1-Rm=100.dat,4800.0,1.0,100.0
beta=1.5e+02-Am=4-Rm=inf.dat,150.0,4.0,inf
beta=2.3e+03-Am=1-Rm=100.dat,2300.0,1.0,100.0
beta=2.3e+03-Am=0.5-Rm=inf.dat,2300.0,0.5,inf
beta=1.2e+02-Am=1-Rm=inf.dat,120.0,1.0,inf
beta=1.0e+04-Am=0.25-Rm=inf.dat,10000.0,0.25,inf
beta=1.0e+04-Am=1-Rm=10.dat,10000.0,1.0,10.0
beta=2.2e+04-Am=2-Rm=inf.dat,22000.0,2.0,inf
beta=4.9e+03-Am=2-Rm=inf.dat,4900.0,2.0,inf
beta=5.0e+03-Am=4-Rm=inf.dat,5000.0,4.0,inf
beta=1.0e+05-Am=4-Rm=inf.dat,100000.0,4.0,inf
beta=1.0e+05-Am=0.25-Rm=inf.dat,100000.0,0.25,inf
beta=1.3e+02-Am=2-Rm=inf.dat,130.0,2.0,inf
beta=2.2e+04-Am=1-Rm=inf.dat,22000.0,1.0,inf
beta=4.7e+04-Am=0.5-Rm=inf.dat,47000.0,0.5,inf
beta=1.1e+03-Am=0.25-Rm=inf.dat,1100.0,0.25,inf
beta=4.8e+03-Am=1-Rm=inf.dat,4800.0,1.0,inf
beta=2.2e+04-Am=1-Rm=1.dat,22000.0,1.0,1.0
beta=2.2e+04-Am=0.25-Rm=inf.dat,22000.0,0.25,inf
beta=1.1e+03-Am=1-Rm=10.dat,1100.0,1.0,10.0
beta=1.0e+05-Am=1-Rm=100.dat,100000.0,1.0,100.0
beta=3.7e+07-Am=1-Rm=inf.dat,37000000.0,1.0,inf
beta=4.7e+03-Am=1-Rm=1.dat,4700.0,1.0,1.0
beta=5.0e+02-Am=0.5-Rm=inf.dat,500.0,0.5,inf
beta=2.8e+02-Am=4-Rm=inf.dat,280.0,4.0,inf
beta=1.0e+05-Am=2-Rm=inf.dat,100000.0,2.0,inf
beta=2.2e+04-Am=0.5-Rm=inf.dat,22000.0,0.5,inf
beta=4.7e+04-Am=1-Rm=1.dat,47000.0,1.0,1.0
beta=2.4e+03-Am=4-Rm=inf.dat,2400.0,4.0,inf
beta=2.2e+04-Am=4-Rm=inf.dat,22000.0,4.0,inf
beta=2.3e+03-Am=1-Rm=inf.dat,2300.0,1.0,inf
beta=2.2e+03-Am=1-Rm=1.dat,2200.0,1.0,1.0
beta=1.6e+07-Am=1-Rm=inf.dat,16000000.0,1.0,inf
beta=1.0e+04-Am=2-Rm=inf.dat,10000.0,2.0,inf
beta=1.0e+04-Am=1-Rm=1.dat,10000.0,1.0,1.0
beta=5.3e+02-Am=2-Rm=inf.dat,530.0,2.0,inf
beta=1.0e+05-Am=0.5-Rm=inf.dat,100000.0,0.5,inf
beta=4.7e+04-Am=1-Rm=inf.dat,47000.0,1.0,inf
beta=4.8e+03-Am=0.25-Rm=inf.dat,4800.0,0.25,inf
beta=4.7e+04-Am=4-Rm=inf.dat,47000.0,4.0,inf
beta=2.5e+02-Am=1-Rm=inf.dat,250.0,1.0,inf
beta=2.3e+05-Am=1-Rm=inf.dat,230000.0,1.0,inf
beta=1.1e+03-Am=2-Rm=inf.dat,1100.0,2.0,inf
beta=1.0e+04-Am=0.5-Rm=inf.dat,10000.0,0.5,inf
beta=4.7e+04-Am=1-Rm=10.dat,47000.0,1.0,10.0
beta=1.0e+04-Am=1-Rm=100.dat,10000.0,1.0,100.0
beta=1.3e+06-Am=1-Rm=inf.dat,1300000.0,1.0,inf
